recommendationid,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,game_id
86011272,True,86,5,0.8526689410209656,1,True,976730
86310428,True,136,29,0.8529943227767944,0,True,976730
85926572,True,71,9,0.8027806878089905,0,True,976730
86403969,True,31,10,0.7922661900520325,0,True,976730
86207459,True,29,4,0.7730998992919922,0,True,976730
86475745,True,20,3,0.7356828451156616,0,True,976730
86759374,True,44,26,0.7306296229362488,4,True,976730
86935937,True,17,0,0.7222222089767456,0,True,976730
85620476,True,28,0,0.7192170023918152,0,True,976730
85587815,False,169,13,0.7103700637817383,28,True,976730
86270013,True,12,0,0.6696113348007202,0,True,976730
85512443,False,32,3,0.6672269105911255,0,True,976730
86444398,True,12,0,0.6573283672332764,0,True,976730
86609361,True,11,0,0.6570956707000732,0,True,976730
85546392,True,11,0,0.6194607615470886,0,True,976730
85816427,False,21,1,0.6186086535453796,0,True,976730
85478109,True,9,0,0.6103114485740662,0,True,976730
85976515,True,38,3,0.6089536547660828,5,True,976730
85844994,True,16,3,0.6005444526672363,8,True,976730
87396174,True,5,0,0.6000000238418579,0,True,976730
86070751,True,16,6,0.5962710380554199,0,True,976730
85774819,True,10,2,0.5909554958343506,0,True,976730
86977533,True,8,8,0.5846289992332458,0,True,976730
86594175,True,4,1,0.5833333134651184,2,True,976730
86721682,True,4,0,0.5808383226394653,0,True,976730
86374003,True,3,0,0.5669291019439697,0,True,976730
85742177,False,6,0,0.5668815970420837,0,True,976730
87049472,True,3,0,0.5652173757553101,0,True,976730
86812892,True,3,2,0.5652173757553101,0,True,976730
86763228,True,3,0,0.5652173757553101,0,True,976730
86061645,True,4,0,0.5652173757553101,0,True,976730
86603204,True,4,1,0.5648618340492249,1,True,976730
86580950,True,3,0,0.56175297498703,0,True,976730
85545330,True,4,3,0.5613293051719666,4,True,976730
86705008,True,3,0,0.5608108043670654,0,True,976730
85521485,True,2,0,0.5546558499336243,0,True,976730
85724089,True,4,1,0.5493232011795044,0,True,976730
87118637,True,2,0,0.547325074672699,0,True,976730
87421862,True,2,0,0.5454545617103577,0,True,976730
87317902,True,2,0,0.5454545617103577,0,True,976730
87095334,False,2,0,0.5454545617103577,0,True,976730
86920443,True,2,2,0.5454545617103577,1,True,976730
86811779,True,2,0,0.5454545617103577,0,True,976730
86768328,True,2,0,0.5454545617103577,0,True,976730
86657404,True,2,0,0.5454545617103577,0,True,976730
86309439,True,2,4,0.5454545617103577,0,True,976730
